Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1426000167157727254,"RT @HighCourtofAus : The High Court will tomorrow hear applications for special leave to appeal in Canberra, with video-links to Sydney and Melbourne https://t.co/1yvg90gxda",Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:58:28.000Z,Fri Aug 13 01:58:28 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://cdn.hcourt.gov.au/assets/registry/court-lists/2021/13-08-21SLA_hearings.pdf ,0,0,,,,,
1425999744950702085,"RT @OHCHRAsia : “The routine harassment &amp; criminalisation of environmental human rights defenders incl. indigenous peoples should end as defending their rights &amp; nature is not a crime,” says Alice Mathew, Indigenous Senior Fellow at @OHCHRAsia. watch?? #IndigenousPeoplesDay #WeAreIndigenous https://t.co/IVc0TBwjDr",Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:56:47.000Z,Fri Aug 13 01:56:47 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,2,1,video,https://video.twimg.com/amplify_video/1424757045488545803/vid/1280x720/9d8BXELtzd7DHIlw.mp4?tag=14,,,
1425999735060455429,RT @OHCHRAsia : Learn about the vital importance of protecting the environment in OHCHR's latest newsletter on #HumanRights and #ClimateChange. Read more and sign up here ? https://t.co/8UZE1g7qoP #ClimateActionNow https://t.co/sqCnElgGEU,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:56:45.000Z,Fri Aug 13 01:56:45 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/37xcsk8 ,3,0,photo,https://pbs.twimg.com/media/E8aPJ7wUUAEUdD7.jpg,,,
1425999697768947713,https://t.co/qQdXRjajXs,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:56:36.000Z,Fri Aug 13 01:56:36 +0000 2021,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/E8orJcZUcAIc9yX.jpg,https://pbs.twimg.com/media/E8orJdNVcAMNu_k.jpg,,
1425999534375591937,https://t.co/gbuUumYydE,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:55:57.000Z,Fri Aug 13 01:55:57 +0000 2021,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/E8orAjdUYA0oZ50.jpg,https://pbs.twimg.com/media/E8orAjfUYAQSjgO.jpg,,
1425999167017480198,and also just scout potentiality for Schizophrenia and the medication for Schizophrenia,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:54:29.000Z,Fri Aug 13 01:54:29 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1425999011102687232,3) perform neurosurgery allowing life certainty removing brain tumour 4) treat skin disease across the face 5) allow teeth demineralisation to heal 6) remove surgically attached throbbing face vein size of quarter face,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:53:52.000Z,Fri Aug 13 01:53:52 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1425998638266732546,"Life outcome could very well be within 10 to 20 years because there is a tumour on my brain. If I won the lottery, as I have no means of travel, I would pay a hospital to 1) repair where a surgeon removed my face for entertainment 2) eradicate 10 year genital skin infection 3)",Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:52:23.000Z,Fri Aug 13 01:52:23 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1425998339309408256,"I am thankful there will be international, national and local people and institutions to witness life outcome and substantive future life events, such as regional legislatures, United Nations Commissioner on Human Rights, the Byron Bay council and Mayor, corporations,institutions",Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:51:12.000Z,Fri Aug 13 01:51:12 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1425995756628963331,I only visit private hospitals,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:40:56.000Z,Fri Aug 13 01:40:56 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1425992652881731589,"I used to spend two to three days awake at a time watching films, photographs appearing across my vision awake. It did stop me from sleeping when a cartoon was playing across the vision field for 12 to 36 hours",Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:28:36.000Z,Fri Aug 13 01:28:36 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1425992443653025797,I have been awake all night at least 3 nights a week from 2010 to 2021 including even staying all awake all night in Concord Centre for Mental Health each night. I have spent more nights awake all night in the last 11 years than I have asleep. Initially PTSD,Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:27:46.000Z,Fri Aug 13 01:27:46 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1425991863899623429,15 to 30 million dollars post several GFCs),Charles T.W. Truscott Watters,r0ss1n1,2021-08-13T01:25:28.000Z,Fri Aug 13 01:25:28 +0000 2021,0,0,ca,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
